"Species","SASAP.Region","YEAR","median_wgt","p05_wgt","p95_wgt"
"chinook","Prince William Sound",1977,15.1315490510559,13.6588496956454,28.2907567049808
"chinook","Prince William Sound",1978,12.105476673428,9.3921476673428,19.2984787018256
"chinook","Prince William Sound",1979,11.0956175298805,10.6732801645404,11.1278099281705
"chinook","Prince William Sound",1980,19.5172413793103,11.5909764743796,20.139224137931
"chinook","Prince William Sound",1981,15.3728813559322,9.7557091882248,17.1132881355932
"chinook","Prince William Sound",1982,14.0625,11.8205357142857,15.9837147887324
"chinook","Prince William Sound",1983,17.7671755725191,11.1168338363217,18.5663727296657
"chinook","Prince William Sound",1984,16.8577586206897,15.4691091954023,19.235775862069
"chinook","Prince William Sound",1985,14.7753086419753,14.3145415403541,17.134915852091
"chinook","Prince William Sound",1986,11.7,8.91984802431611,12.816463022508
"chinook","Prince William Sound",1987,12.5572916666667,11.5584410310734,12.958215354512
"chinook","Prince William Sound",1988,12.6782269358468,10.9112111257277,14.8869268480246
"chinook","Prince William Sound",1989,16.6177215189873,11.1624344035544,16.9225676064442
"chinook","Prince William Sound",1990,13.6645621637776,10.4669642857143,14.9847954045812
"chinook","Prince William Sound",1991,13.2564259485924,10.3212747631352,15.5046921549156
"chinook","Prince William Sound",1992,12.6039603960396,11.4761855132882,14.6732992654104
"chinook","Prince William Sound",1993,15.8909090909091,10.9149529780564,16.1266121315018
"chinook","Prince William Sound",1994,13.7560975609756,13.5279056744649,15.7986866791745
"chinook","Prince William Sound",1995,13.779995764058,11.9679021497405,15.6945250450069
"chinook","Prince William Sound",1996,15.8402911995877,14.8160983488873,17.2135683760684
"chinook","Prince William Sound",1997,13.9311224489796,12.7904069767442,18.9685316499481
"chinook","Prince William Sound",1998,16.0259319286872,15.4701988266715,18.3622085774841
"chinook","Prince William Sound",1999,12.6690331304936,9.5272703342985,13.5311182019978
